phi the  : 1274
only were  : 1
were the  : 24
the texture  : 2
texture and  : 2
and pattern  : 1
pattern uncommonly  : 1
uncommonly beautiful  : 1
the clothes  : 3
clothes which  : 3
were made  : 9
made of  : 28
the stuff  : 3
stuff possessed  : 1
possessed this  : 1
this wonderful  : 3
wonderful property  : 1
property that  : 1
were invisible  : 1
not fit  : 6
fit for  : 4
his office  : 6
office ,  : 3
or who  : 2
was unpardonably  : 1
unpardonably stupid  : 1
stupid .  : 3
` those  : 1
those must  : 1
must indeed  : 1
indeed be  : 3
be splendid  : 2
splendid clothes  : 2
' thought  : 31
thought the  : 22
emperor .  : 18
i had  : 101
had them  : 4
them on  : 10
on i  : 2
i could  : 87
which men  : 1
men in  : 5
my kingdom  : 4
kingdom are  : 1
are unfit  : 1
unfit for  : 2
the offices  : 1
offices they  : 1
they hold  : 2
hold ;  : 2
could distinguish  : 2
distinguish the  : 4
wise from  : 1
the stupid  : 2
stupid !  : 1
phi yes  : 19
, this  : 21
this cloth  : 1
cloth must  : 1
be woven  : 1
woven for  : 1
for me  : 42
me at  : 12
once .  : 33
gave both  : 1
both the  : 12
the impostors  : 7
impostors much  : 1
much money  : 11
might begin  : 1
begin their  : 2
their work  : 1
two weaving-looms  : 1
weaving-looms ,  : 1
do as  : 8
were working  : 2
working ,  : 2
not the  : 26
least thing  : 1
thing on  : 2
the looms  : 1
looms .  : 1
they also  : 1
also demanded  : 1
demanded the  : 2
the finest  : 13
finest silk  : 1
silk and  : 3
the best  : 48
best gold  : 1
gold ,  : 17
they put  : 10
put in  : 13
in their  : 47
their pockets  : 2
pockets ,  : 6
and worked  : 2
worked at  : 4
the empty  : 13
empty looms  : 1
looms till  : 1
till late  : 2
late into  : 1
night .  : 53
should like  : 11
like very  : 1
much to  : 18
know how  : 18
how far  : 3
far they  : 1
have got  : 13
got on  : 5
on with  : 17
the cloth  : 8
cloth ,  : 1
remembered when  : 1
thought about  : 3
that whoever  : 3
whoever was  : 2
was stupid  : 1
stupid or  : 1
or not  : 10
office would  : 1
see it  : 25
now he  : 29
he certainly  : 3
certainly believed  : 1
believed that  : 10
had nothing  : 10
to fear  : 5
fear for  : 2
for himself  : 8
himself ,  : 43
wanted first  : 1
first to  : 6
to send  : 21
send somebody  : 1
somebody else  : 4
stood with  : 4
with regard  : 1
regard to  : 3
office .  : 1
phi everybody  : 10
everybody in  : 5
whole town  : 5
town knew  : 1
knew what  : 21
wonderful power  : 2
power the  : 1
cloth had  : 1
had ,  : 16
all curious  : 1
curious to  : 6
how bad  : 2
bad or  : 1
or how  : 1
how stupid  : 2
stupid their  : 1
their neighbour  : 1
neighbour was  : 1
will send  : 1
send my  : 2
my old  : 6
old and  : 8
and honoured  : 1
honoured minister  : 1
minister to  : 1
the weavers  : 2
can judge  : 1
judge best  : 1
best what  : 1
what the  : 34
cloth is  : 1
is like  : 9
has intellect  : 1
intellect ,  : 1
and no  : 26
one understands  : 1
understands his  : 1
office better  : 1
better than  : 22
than he  : 22
he .  : 33
the good  : 28
good old  : 4
old minister  : 5
minister went  : 2
the hall  : 30
hall where  : 2
impostors sat  : 1
sat working  : 2
working at  : 2
empty weaving-looms  : 1
weaving-looms .  : 1
` dear  : 10
dear me  : 8
phi thought  : 20
minister ,  : 6
, opening  : 3
opening his  : 3
eyes wide  : 1
wide ,  : 3
see nothing  : 9
nothing !  : 3
not say  : 12
say so  : 8
so .  : 27
phi both  : 6
impostors begged  : 1
begged him  : 5
so kind  : 2
kind as  : 1
as to  : 31
to step  : 1
step closer  : 1
closer ,  : 2
him if  : 9
beautiful texture  : 1
and lovely  : 5
lovely colours  : 1
colours .  : 3
they pointed  : 3
pointed to  : 7
empty loom  : 5
loom ,  : 5
poor old  : 15
went forward  : 3
forward rubbing  : 1
rubbing his  : 4
eyes ;  : 6
could see  : 51
nothing there  : 3
dear ,  : 19
dear !  : 26
thought he  : 21
he ,  : 26
can i  : 21
i be  : 10
be stupid  : 1
stupid ?  : 4
thought that  : 33
and nobody  : 5
nobody must  : 1
must know  : 5
know it  : 27
it !  : 32
phi can  : 6
be not  : 1
for my  : 17
my office  : 1
office ?  : 1
i must  : 81
cloth !  : 1
` have  : 12
have you  : 40
you nothing  : 1
to say  : 92
say about  : 1
asked one  : 3
the men  : 40
men who  : 9
was weaving  : 1
weaving .  : 2
is lovely  : 1
lovely ,  : 4
, most  : 3
most lovely  : 2
lovely !  : 2
looking through  : 3
his spectacles  : 5
spectacles .  : 3
a texture  : 2
texture !  : 2
what colours  : 3
colours !  : 3
will tell  : 14
tell the  : 15
emperor that  : 1
it pleases  : 1
pleases me  : 1
much .  : 22
now we  : 17
are delighted  : 1
delighted at  : 2
at that  : 17
said both  : 2
and thereupon  : 3
thereupon they  : 1
they named  : 1
named the  : 2
the colours  : 2
colours and  : 2
and explained  : 2
explained the  : 1
the make  : 1
make of  : 3
texture .  : 2
minister paid  : 1
paid great  : 1
great attention  : 1
attention ,  : 2
same to  : 1
emperor when  : 1
he came  : 78
did .  : 32
impostors now  : 1
now wanted  : 1
wanted more  : 1
more money  : 1
, more  : 14
more silk  : 1
silk ,  : 4
and more  : 20
more gold  : 2
gold to  : 3
to use  : 10
use in  : 10
their weaving  : 1
all in  : 11
their own  : 28
own pockets  : 1
no threads  : 1
threads on  : 1
the loom  : 3
on as  : 6
done before  : 3
before ,  : 58
, working  : 1
loom .  : 2
emperor soon  : 1
soon sent  : 1
sent another  : 1
another worthy  : 1
worthy statesman  : 1
statesman to  : 1
the weaving  : 1
weaving was  : 1
was getting  : 15
getting on  : 8
and whether  : 2
whether the  : 4
cloth would  : 1
would soon  : 4
soon be  : 7
be finished  : 3
finished .  : 6
same with  : 2
him as  : 31
first one  : 5
one ;  : 4
looked and  : 4
looked ,  : 12
but because  : 4
because there  : 5
nothing on  : 7
loom he  : 1
` is  : 19
it not  : 6
beautiful piece  : 1
piece of  : 42
of cloth  : 1
cloth ?  : 1
impostors ,  : 3
to and  : 30
and described  : 1
described the  : 2
the splendid  : 4
splendid material  : 1
material which  : 1
not there  : 4
` stupid  : 4
stupid i  : 1
am not  : 18
not !  : 8
` so  : 17
so it  : 15
it must  : 27
be my  : 8
my good  : 5
good office  : 1
office for  : 1
for which  : 5
which i  : 18
not fitted  : 1
fitted .  : 1
is strange  : 2
strange ,  : 7
one must  : 1
be allowed  : 7
allowed to  : 16
notice it  : 3
and so  : 105
so he  : 101
he praised  : 1
praised the  : 4
cloth which  : 1
see ,  : 55
and expressed  : 1
expressed to  : 1
them his  : 1
his delight  : 1
delight at  : 1
beautiful colours  : 1
splendid texture  : 1
quite beautiful  : 1
town was  : 3
was talking  : 8
talking of  : 5
the magnificent  : 3
magnificent cloth  : 1
cloth .  : 1
emperor wanted  : 1
it himself  : 2
himself while  : 1
while it  : 4
still on  : 3
great crowd  : 2
crowd of  : 5
of select  : 1
select followers  : 1
followers ,  : 1
, amongst  : 1
amongst whom  : 1
whom were  : 1
were both  : 5
the worthy  : 1
worthy statesmen  : 1
statesmen who  : 2
been there  : 8
there before  : 4
the cunning  : 5
cunning impostors  : 1
who were  : 26
were now  : 1
now weaving  : 1
weaving with  : 1
their might  : 1
might ,  : 8
but without  : 1
without fibre  : 1
fibre or  : 1
or thread  : 1
thread .  : 2
not splendid  : 1
splendid !  : 4
old statesmen  : 1
` see  : 5
, your  : 14
your majesty  : 19
majesty ,  : 12
for they  : 21
they believed  : 1
others could  : 1
cloth quite  : 1
well .  : 29
what !  : 8
emperor ,  : 13
indeed horrible  : 1
horrible !  : 1
phi am  : 4
am i  : 24
i stupid  : 1
i not  : 5
fit to  : 10
be emperor  : 1
emperor ?  : 2
most dreadful  : 2
dreadful thing  : 2
thing that  : 14
that could  : 8
could happen  : 1
happen to  : 5
phi oh  : 44
is very  : 30
said .  : 95
has my  : 2
my gracious  : 3
gracious approval  : 1
approval .  : 2
he nodded  : 3
nodded pleasantly  : 1
and examined  : 1
examined the  : 2
his whole  : 6
whole court  : 11
court round  : 1
him looked  : 1
saw no  : 3
no more  : 41
others ;  : 1
said like  : 1
oh !  : 24
is beautiful  : 2
beautiful !  : 3
they advised  : 1
advised him  : 1
to wear  : 8
wear these  : 1
these new  : 2
new and  : 4
and magnificent  : 1
magnificent clothes  : 1
clothes for  : 2
first time  : 26
time at  : 2
great procession  : 1
procession which  : 1
was soon  : 4
soon to  : 1
take place  : 3
place .  : 22
` splendid  : 2
phi lovely  : 2
phi most  : 6
phi went  : 1
went from  : 1
from mouth  : 1
mouth to  : 3
to mouth  : 1
mouth ;  : 3
; everyone  : 1
everyone seemed  : 2
seemed delighted  : 1
delighted over  : 4
emperor gave  : 1
gave to  : 7
impostors the  : 1
the title  : 4
title of  : 3
of court  : 2
court weavers  : 1
weavers to  : 1
phi throughout  : 1
throughout the  : 2
whole of  : 6
night before  : 9
the morning  : 40
morning on  : 1
the procession  : 7
procession was  : 1
impostors were  : 1
were up  : 4
up and  : 116
and were  : 21
working by  : 1
the light  : 12
light of  : 8
of over  : 1
over sixteen  : 1
sixteen candles  : 1
candles .  : 1
the people  : 41
people could  : 2
were very  : 16
very busy  : 2
busy making  : 1
making the  : 2
clothes ready  : 1
ready .  : 5
they pretended  : 1
pretended they  : 1
were taking  : 2
taking the  : 9
cloth from  : 1
, cut  : 3
cut with  : 1
with huge  : 2
huge scissors  : 1
scissors in  : 1
air ,  : 35
sewed with  : 1
with needles  : 1
needles without  : 1
without thread  : 1
thread ,  : 2
then said  : 6
said at  : 8
last ,  : 30
clothes are  : 2
are finished  : 1
finished !  : 1
emperor came  : 1
came himself  : 2
his most  : 4
most distinguished  : 1
distinguished knights  : 1
knights ,  : 2
and each  : 12
each impostor  : 1
impostor held  : 1
held up  : 7
his arm  : 8
arm just  : 1
he were  : 19
were holding  : 3
holding something  : 2
something ,  : 9
see !  : 5
phi here  : 42
here are  : 3
are the  : 31
the breeches  : 1
breeches !  : 1
the coat  : 2
coat !  : 1
here the  : 9
the cloak  : 11
cloak !  : 1
so on  : 8
on .  : 44
` spun  : 1
spun clothes  : 1
are so  : 12
so comfortable  : 2
comfortable that  : 1
that one  : 17
one would  : 6
would imagine  : 1
imagine one  : 1
one had  : 5
on at  : 3
at all  : 99
all ;  : 8
but that  : 33
the beauty  : 7
beauty of  : 8
said all  : 5
the knights  : 1
they could  : 47
will it  : 3
it please  : 3
please your  : 7
majesty graciously  : 1
graciously to  : 1
take off  : 4
off your  : 5
your clothes  : 2
` then  : 21
will put  : 5
put on  : 34
the new  : 25
here before  : 2
the mirror  : 7
mirror .  : 3
emperor took  : 1
took off  : 7
off all  : 7
his clothes  : 2
impostors placed  : 1
themselves before  : 1
were putting  : 2
putting on  : 2
on each  : 8
each part  : 1
emperor turned  : 1
turned and  : 8
and bent  : 4
bent himself  : 1
himself in  : 14
in front  : 56
front of  : 51
` how  : 31
how beautifully  : 2
beautifully they  : 1
they fit  : 1
fit !  : 1
phi how  : 59
how well  : 3
well they  : 2
they sit  : 1
sit !  : 1
said everybody  : 1
everybody .  : 1
what material  : 1
material !  : 1
a gorgeous  : 2
gorgeous suit  : 1
suit !  : 1
are waiting  : 3
waiting outside  : 2
outside with  : 1
the canopy  : 1
canopy which  : 1
which your  : 1
majesty is  : 1
is wont  : 1
wont to  : 4
have borne  : 1
borne over  : 1
over you  : 1
you in  : 18
procession ,  : 4
' announced  : 1
announced the  : 1
the master  : 18
master of  : 5
the ceremonies  : 1
ceremonies .  : 1
` look  : 6
look ,  : 15
am ready  : 3
` does  : 4
does n't  : 50
n't it  : 21
it sit  : 1
sit well  : 1
well !  : 16
he turned  : 24
turned himself  : 2
himself again  : 1
mirror to  : 1
see if  : 33
if his  : 10
his finery  : 1
finery was  : 1
on all  : 11
all right  : 23
right .  : 17
the chamberlains  : 2
chamberlains who  : 1
were used  : 1
used to  : 65
carry the  : 6
the train  : 19
train put  : 1
put their  : 9
their hands  : 10
hands near  : 1
near the  : 25
floor as  : 2
were lifting  : 1
lifting up  : 4
up the  : 137
train ;  : 1
did as  : 7
something in  : 6
it noticed  : 1
noticed that  : 11
emperor went  : 1
went along  : 3
along in  : 8
procession under  : 1
splendid canopy  : 1
canopy ,  : 1
and all  : 91
people in  : 12
the streets  : 6
streets and  : 2
the windows  : 12
windows said  : 1
how matchless  : 1
matchless are  : 1
clothes !  : 3
that train  : 2
train fastened  : 1
fastened to  : 5
his dress  : 1
dress ,  : 10
, how  : 29
beautifully it  : 1
it hangs  : 1
hangs !  : 1
one wished  : 1
wished it  : 2
be noticed  : 2
for then  : 1
been unfit  : 1
else very  : 1
very stupid  : 3
phi none  : 6
's clothes  : 2
clothes had  : 1
with such  : 13
such approval  : 1
approval as  : 1
as these  : 3
these had  : 1
had .  : 9
has nothing  : 4
on !  : 14
said a  : 15
little child  : 5
child at  : 1
` just  : 9
just listen  : 1
listen to  : 32
the innocent  : 1
innocent child  : 1
child !  : 8
the father  : 6
one whispered  : 1
whispered to  : 2
his neighbour  : 4
neighbour what  : 1
child had  : 2
people called  : 1
called out  : 28
out at  : 22
this struck  : 1
struck the  : 7
it seemed  : 24
were right  : 1
right ;  : 2
thought to  : 19
to himself  : 50
go on  : 37
procession now  : 1
now .  : 52
chamberlains walked  : 1
along still  : 1
still more  : 10
more uprightly  : 1
uprightly ,  : 1
holding up  : 2
train which  : 1
there at  : 3
golden crab  : 3
crab -lrb-  : 1
-lrb- 5  : 2
5 -rrb-  : 2
` prinz  : 1
prinz krebs  : 1
krebs ,  : 1
from griechische  : 1
griechische mahrchen  : 2
phi schmidt  : 1
schmidt .  : 1
once upon  : 28
a time  : 61
time there  : 17
a fisherman  : 1
fisherman who  : 2
a wife  : 6
wife and  : 10
children .  : 21
phi every  : 18
every morning  : 8
morning he  : 18
he used  : 7
out fishing  : 1
fishing ,  : 1
and whatever  : 3
whatever fish  : 1
fish he  : 1
he caught  : 8
caught he  : 1
he sold  : 1
sold to  : 1
, among  : 5
among the  : 63
other fishes  : 1
fishes ,  : 1
caught a  : 3
a golden  : 20
crab .  : 4
put all  : 3
the fishes  : 6
fishes together  : 1
together into  : 3
great dish  : 1
dish ,  : 2
he kept  : 18
kept the  : 4
the crab  : 20
crab separate  : 1
separate because  : 1
because it  : 10
it shone  : 4
shone so  : 2
so beautifully  : 5
beautifully ,  : 1
and placed  : 3
placed it  : 3
it upon  : 2
high shelf  : 1
shelf in  : 1
the cupboard  : 1
cupboard .  : 1
now while  : 1
, his  : 67
his wife  : 64
wife ,  : 32
was cleaning  : 1
cleaning the  : 1
the fish  : 9
fish ,  : 9
had tucked  : 2
tucked up  : 1
up her  : 11
her gown  : 1
gown so  : 1
feet were  : 3
were visible  : 1
visible ,  : 2
she suddenly  : 5
suddenly heard  : 1
which said  : 1
` let  : 12
let down  : 3
down thy  : 2
thy petticoat  : 1
petticoat that  : 1
that lets  : 2
lets thy  : 1
thy feet  : 2
feet be  : 1
be seen  : 19
seen .  : 19
round in  : 5
in surprise  : 3
surprise ,  : 9
little creature  : 17
creature ,  : 12
you ridiculous  : 1
ridiculous crab  : 1
crab ?  : 2
quite pleased  : 3
pleased at  : 4
crab 's  : 3
's remarks  : 1
remarks .  : 2
him up  : 28
placed him  : 2
a dish  : 2
dish .  : 2
husband came  : 2
home and  : 11
they sat  : 11
to dinner  : 5
dinner ,  : 12
, they  : 86
they presently  : 2
presently heard  : 1
's little  : 3
little voice  : 4
voice saying  : 1
` give  : 7
me some  : 4
some too  : 1
too .  : 48
all very  : 12
much surprised  : 7
surprised ,  : 3
they gave  : 12
him something  : 3
something to  : 19
eat .  : 9
man came  : 7
take away  : 2
away the  : 15
the plate  : 1
plate which  : 1
which had  : 26
had contained  : 1
contained the  : 3
's dinner  : 3
it full  : 2
full of  : 61
happened every  : 2
day he  : 26
he soon  : 10
soon became  : 3
became very  : 5
very fond  : 11
crab said  : 2
the fisherman  : 5
fisherman 's  : 4
's wife  : 22
tell him  : 28
him i  : 3
marry his  : 1
his younger  : 1
younger daughter  : 1
daughter .  : 19
woman went  : 3
went accordingly  : 1
accordingly ,  : 4
matter before  : 1
who laughed  : 1
laughed a  : 3
little at  : 1
the notion  : 1
notion of  : 2
daughter marrying  : 1
marrying a  : 1
a crab  : 3
crab ,  : 6
but did  : 8
not decline  : 1
decline the  : 2
the proposal  : 2
proposal altogether  : 1
altogether ,  : 4
a prudent  : 1
prudent monarch  : 1
monarch ,  : 2
crab was  : 1
was likely  : 1
be a  : 74
a prince  : 7
in disguise  : 1
disguise .  : 1
, therefore  : 2
therefore ,  : 3
go ,  : 41
, old  : 35
crab i  : 1
him my  : 1
my daughter  : 10
daughter if  : 1
if by  : 6
by to-morrow  : 1
to-morrow morning  : 2
can build  : 1
build a  : 5
a wall  : 2
wall in  : 1
my castle  : 3
castle much  : 1
much higher  : 1
higher than  : 4
than my  : 3
my tower  : 1
tower ,  : 7
which all  : 4
the flowers  : 14
flowers of  : 2
world must  : 2
must grow  : 2
grow and  : 1
and bloom  : 1
bloom .  : 1
wife went  : 4
and gave  : 31
gave this  : 1
this message  : 1
message .  : 4
crab gave  : 1
gave her  : 25
her a  : 17
golden rod  : 1
rod ,  : 4
and strike  : 2
strike with  : 2
with this  : 19
this rod  : 3
rod three  : 1
three times  : 14
times upon  : 2
ground on  : 1
place which  : 2
king showed  : 1
showed you  : 1
and to-morrow  : 2
wall will  : 1
be there  : 2
woman did  : 2
so and  : 3
went away  : 25
away again  : 6
king awoke  : 4
awoke ,  : 7
what do  : 30
think he  : 8
saw ?  : 1
wall stood  : 1
stood there  : 3
before his  : 5
, exactly  : 8
exactly as  : 10
had bespoken  : 1
bespoken it  : 1
majesty 's  : 2
orders have  : 1
been fulfilled  : 1
fulfilled .  : 1
` that  : 73
not give  : 10
give away  : 1
away my  : 1
daughter until  : 1
until there  : 2
there stands  : 1
stands in  : 1
my palace  : 4
palace a  : 1
a garden  : 3
garden in  : 1
which there  : 5
there are  : 36
are three  : 2
three fountains  : 1
fountains ,  : 2
, of  : 47
first must  : 1
must play  : 1
play gold  : 1
the second  : 27
second diamonds  : 1
diamonds ,  : 4
third brilliants  : 1
brilliants .  : 1
woman had  : 6
strike again  : 1
again three  : 2
the rod  : 2
the garden  : 70
garden was  : 4
now gave  : 1
his consent  : 2
consent ,  : 2
was fixed  : 2
fixed for  : 1
the very  : 38
very next  : 2
old fisherman  : 1
fisherman ,  : 1
now take  : 2
take this  : 13
rod ;  : 1
; go  : 1
and knock  : 3
knock with  : 2
a certain  : 18
certain mountain  : 1
mountain ;  : 2
then a  : 15
a black  : 13
black man  : 3
man -lrb-  : 4
-lrb- 6  : 2
6 -rrb-  : 2
-rrb- will  : 1
out and  : 27
and ask  : 13
ask you  : 8
you what  : 10
what you  : 33
you wish  : 12
wish for  : 3
for .  : 10
phi answer  : 3
answer him  : 2
him thus  : 2
thus :  : 2
: ''  : 1
'' your  : 1
your master  : 2
master ,  : 10
, has  : 5
has sent  : 5
sent me  : 5
you that  : 12
must send  : 1
send him  : 3
him his  : 10
his golden  : 6
golden garment  : 2
garment that  : 1
sun .  : 10
. ''  : 937
phi make  : 3
make him  : 13
him give  : 2
, besides  : 6
besides ,  : 24
the queenly  : 1
queenly robes  : 1
robes of  : 1
and precious  : 6
precious stones  : 10
stones which  : 1
which are  : 2
are like  : 3
the flowery  : 5
flowery meadows  : 1
meadows ,  : 1
and bring  : 18
bring them  : 7
them both  : 11
both to  : 2
bring me  : 8
me also  : 3
also the  : 2
golden cushion  : 2
cushion .  : 1
-rrb- ein  : 1
ein mohr  : 1
mohr .  : 1
man went  : 3
went and  : 9
and did  : 24
did his  : 5
his errand  : 2
errand .  : 3
had brought  : 16
brought the  : 13
the precious  : 5
precious robes  : 1
robes ,  : 4
crab put  : 1
garment and  : 1
then crept  : 2
crept upon  : 1
cushion ,  : 2
fisherman carried  : 1
carried him  : 9
castle ,  : 30
crab presented  : 1
presented the  : 2
other garment  : 1
garment to  : 1
his bride  : 6
bride .  : 4
the ceremony  : 4
ceremony took  : 1
took place  : 2
the married  : 1
married pair  : 1
pair were  : 1
were alone  : 3
alone together  : 2
together the  : 2
crab made  : 1
himself known  : 1
known to  : 3
his young  : 2
young wife  : 5
her how  : 7
the son  : 9
son of  : 16
the greatest  : 11
greatest king  : 1
was enchanted  : 3
enchanted ,  : 1
he became  : 8
became a  : 12
crab by  : 1
day and  : 20
a man  : 121
man only  : 1
night ;  : 5
could also  : 2
also change  : 1
change himself  : 1
himself into  : 6
eagle as  : 1
as often  : 3
often as  : 4
wished .  : 2
no sooner  : 25
sooner had  : 17
had he  : 14
this than  : 1
he shook  : 8
shook himself  : 2
and immediately  : 8
immediately became  : 1
a handsome  : 10
handsome youth  : 3
was forced  : 3
forced to  : 7
to creep  : 3
creep back  : 1
back again  : 22
again into  : 5
into his  : 36
his crab-shell  : 1
crab-shell .  : 1
the princess  : 174
princess 's  : 18
's affection  : 1
affection for  : 1
the polite  : 1
polite attention  : 1
attention with  : 1
with which  : 13
she behaved  : 1
behaved to  : 1
, surprised  : 2
surprised the  : 1
the royal  : 17
royal family  : 2
family very  : 1
they suspected  : 1
suspected some  : 1
some secret  : 1
secret ,  : 4
but though  : 11
though they  : 15
they spied  : 1
spied and  : 1
and spied  : 1
spied ,  : 1
not discover  : 1
discover it  : 1
phi thus  : 10
thus a  : 1
year passed  : 3
princess had  : 8
a son  : 6
whom she  : 10
she called  : 15
called benjamin  : 1
benjamin .  : 1
but her  : 14
her mother  : 31
mother still  : 2
still thought  : 1
whole matter  : 1
matter very  : 1
very strange  : 6
strange .  : 2
last she  : 9
king that  : 6
he ought  : 7
ask his  : 2
daughter whether  : 1
whether she  : 5
she would  : 88
have another  : 1
another husband  : 1
husband instead  : 1
the daughter  : 9
was questioned  : 1
questioned she  : 1
she only  : 5
only answered  : 2
am married  : 1
married to  : 6
and him  : 2
him only  : 2
only will  : 1
will i  : 4
have .  : 4
king said  : 12
will appoint  : 1
appoint a  : 1
a tournament  : 1
tournament in  : 1
your honour  : 1
honour ,  : 2
will invite  : 1
invite all  : 1
the princes  : 2
princes in  : 2
world to  : 9
if any  : 4
any one  : 13
them pleases  : 1
pleases you  : 1
shall marry  : 3
marry him  : 5
evening the  : 9
princess told  : 1
told this  : 1
this to  : 7
who said  : 7
garden gate  : 3
gate and  : 5
man will  : 1
and say  : 9
say to  : 15
, ''  : 895
'' why  : 3
why have  : 4
you called  : 1
called me  : 6
and what  : 37
you require  : 1
require of  : 1
? ''  : 410
master the  : 1
king has  : 3
me hither  : 1
hither to  : 1
golden armour  : 3
armour and  : 3
his steed  : 2
steed and  : 2
silver apple  : 2
apple .  : 6
them to  : 41
princess did  : 1
him what  : 17
desired .  : 1
following evening  : 1
prince dressed  : 1
dressed himself  : 1
himself for  : 4
the tournament  : 3
tournament .  : 3
phi before  : 18
before he  : 39
went he  : 1
now mind  : 1
mind you  : 4
say when  : 4
am the  : 14
this evil  : 1
evil will  : 1
come of  : 3
phi place  : 1
place yourself  : 1
yourself at  : 2
window with  : 3
your sisters  : 1
sisters ;  : 1
will ride  : 1
ride by  : 1
by and  : 9
and throw  : 6
throw you  : 2
phi take  : 13
your hand  : 4
but if  : 41
they ask  : 1
you who  : 2
who i  : 7
am ,  : 13
, say  : 1
know .  : 47
so saying  : 14
he kissed  : 3
kissed her  : 8
, repeated  : 1
repeated his  : 2
his warning  : 2
warning once  : 1
more ,  : 32
away .  : 65
princess went  : 3
her sisters  : 3
sisters to  : 1
window and  : 4
looked on  : 5
presently her  : 1
husband rode  : 1
rode by  : 1
and threw  : 22
threw the  : 9
the apple  : 5
apple up  : 1
she caught  : 7
caught it  : 3
her room  : 16
and by-and-by  : 2
by-and-by her  : 1
father was  : 10
was much  : 20
surprised that  : 2
not seem  : 13
seem to  : 26
to care  : 4
about any  : 2
any of  : 12
princes ;  : 1
he therefore  : 3
therefore appointed  : 2
appointed a  : 2
second tournament  : 1
crab then  : 1
then gave  : 3
wife the  : 1
same directions  : 1
directions as  : 1
as before  : 14
only this  : 2
apple which  : 1
received from  : 2
the black  : 30
was of  : 6
but before  : 18
prince went  : 6
tournament he  : 1
know you  : 13
will betray  : 1
betray me  : 3
me to-day  : 1
to-day .  : 4
she swore  : 1
swore to  : 1
not tell  : 10
tell who  : 1
who he  : 5
he then  : 4
then repeated  : 1
warning and  : 1
, while  : 66
princess ,  : 45
mother and  : 12
and sisters  : 2
sisters ,  : 5
standing at  : 3
window ,  : 24
prince suddenly  : 1
suddenly galloped  : 1
galloped past  : 1
past on  : 1
threw her  : 3
golden apple  : 4
mother flew  : 1
a passion  : 2
passion ,  : 5
a box  : 8
box on  : 1
the ear  : 1
ear ,  : 6
cried out  : 9
not even  : 24
even that  : 3
that prince  : 3
prince please  : 1
you fool  : 1
fool ?  : 3
princess in  : 3
her fright  : 2
fright exclaimed  : 1
exclaimed ,  : 6
crab himself  : 1
himself !  : 1
mother was  : 9
more angry  : 3
angry because  : 1
been told  : 10
told sooner  : 1
sooner ,  : 2
, ran  : 6
ran into  : 8
into her  : 29
daughter 's  : 3
's room  : 11
room where  : 6
the crab-shell  : 1
crab-shell was  : 1
still lying  : 2
lying ,  : 2
, took  : 20
it up  : 18
it into  : 20
poor princess  : 1
princess cried  : 1
cried bitterly  : 3
bitterly ,  : 5
use ;  : 1
; her  : 4
husband did  : 1
not come  : 24
must leave  : 3
princess and  : 6
and turn  : 6
turn to  : 3
other persons  : 2
persons in  : 1
the story  : 22
story .  : 15
day an  : 2
a stream  : 4
stream to  : 1
to dip  : 2
dip in  : 1
a crust  : 2
crust of  : 2
of bread  : 15
bread which  : 1
eat ,  : 13
when a  : 29
a dog  : 13
dog came  : 4
the water  : 81
water ,  : 41
, snatched  : 1
snatched the  : 2
the bread  : 4
bread from  : 1
and ran  : 29
ran away  : 13
after him  : 15
the dog  : 39
dog reached  : 1
a door  : 6
door ,  : 29
, pushed  : 4
pushed it  : 3
it open  : 3
ran in  : 2
man following  : 1
following him  : 3
not overtake  : 1
overtake the  : 1
dog ,  : 12
found himself  : 19
himself above  : 2
above a  : 3
a staircase  : 1
staircase ,  : 2
he descended  : 1
descended .  : 1
saw before  : 2
a stately  : 2
stately palace  : 1
, entering  : 1
entering ,  : 1
large hall  : 3
hall a  : 1
table set  : 2
set for  : 2
for twelve  : 2
twelve persons  : 1
persons .  : 1
he hid  : 6
hid himself  : 2
hall behind  : 1
behind a  : 11
great picture  : 2
picture ,  : 2
might see  : 2
see what  : 31
what would  : 12
would happen  : 7
happen .  : 7
at noon  : 3
noon he  : 1
great noise  : 5
he trembled  : 1
with fear  : 5
fear .  : 10
took courage  : 3
courage to  : 3
look out  : 7
behind the  : 25
the picture  : 4
saw twelve  : 1
twelve eagles  : 1
eagles flying  : 1
in .  : 30
at this  : 37
this sight  : 3
sight his  : 2
his fear  : 1
fear became  : 1
became still  : 3
still greater  : 3
greater .  : 1
the eagles  : 6
eagles flew  : 2
flew to  : 6
the basin  : 3
basin of  : 1
a fountain  : 5
fountain that  : 1
that was  : 109
there and  : 17
bathed themselves  : 1
themselves ,  : 10
when suddenly  : 9
suddenly they  : 2
were changed  : 1
into twelve  : 1
twelve handsome  : 1
handsome youths  : 1
youths .  : 1
now they  : 6
they seated  : 1
seated themselves  : 2
themselves at  : 4
table ,  : 22
them took  : 2
a goblet  : 2
goblet filled  : 1
filled with  : 29
with wine  : 2
wine ,  : 5
' a  : 12
a health  : 4
health to  : 5
to my  : 54
my father  : 17
father !  : 2
and another  : 3
another said  : 1
my mother  : 12
mother !  : 3
the healths  : 1
healths went  : 1
went round  : 2
round .  : 11
then one  : 3
them said  : 3
my dearest  : 5
dearest lady  : 2
lady ,  : 9
, long  : 7
long may  : 2
may she  : 2
she live  : 2
live and  : 2
and well  : 14
a curse  : 2
curse on  : 2
